full_name,type,state,party,marker
Dempsey Burges,House,NC,Republican,NC8
John Chapman,House,PA,Federalist,PA4
Nathaniel Chipman,Senate,VT,Federalist,VT
James Cochran,House,NY,Federalist,NY1
Joshua Coit,House,CT,Federalist,CT
James Davenport,House,CT,Federalist,CT
George Ege,House,PA,Federalist,PA5
Theodore Foster,Senate,RI,Republican,RI
Nathaniel Freeman,House,MA,Republican,MA5
Carter Harrison,House,VA,Republican,VA1
Hezekiah Hosmer,House,NY,Federalist,NY6
Henry Latimer,Senate,DE,Federalist,DE
James Lloyd,Senate,MD,Federalist,MD
Matthew Locke,House,NC,Republican,NC2
James Machir,House,VA,Federalist,VA3
Stevens Mason,Senate,VA,Republican,VA
William Matthews,House,MD,Federalist,MD6
Blair McClenachan,House,PA,Republican,PA2
Joseph McDowell,House,NC,Republican,NC1
Daniel Morgan,House,VA,Federalist,VA1
Isaac Parker,House,MA,Federalist,MA12
James Ross,Senate,PA,Federalist,PA
John Rutherfurd,Senate,NJ,Federalist,NJ
Philip Schuyler,Senate,NY,Federalist,NY
Thomas Sinnickson,House,NJ,Federalist,NJ
Samuel Sitgreaves,House,PA,Federalist,PA4
Jeremiah Smith,House,NH,Federalist,NH
Nathaniel Smith,House,CT,Federalist,CT
William Smith,House,SC,Republican,SC6
William Smith,House,SC,Federalist,SC1
Peleg Sprague,House,NH,Federalist,NH
John Swanwick,House,PA,Republican,PA1
Mark Thomson,House,NJ,Federalist,NJ
John Van Alen,House,NY,Federalist,NY7
John Williams,House,NY,Federalist,NY9
Joshua Clayton,Senate,DE,Federalist,DE
John Hobart,Senate,NY,Federalist,NY
William North,Senate,NY,Federalist,NY
James Watson,Senate,NY,Federalist,NY
Bailey Bartlett,House,MA,Federalist,MA11
Jonathan Brace,House,CT,Federalist,CT
John Brown,House,RI,Federalist,RI
John Brown,Senate,KY,Republican,KY
Gabriel Christie,House,MD,Republican,MD6
William Cocke,Senate,TN,Republican,TN
William Cooper,House,NY,Federalist,NY1
William Craik,House,MD,Federalist,MD3
Franklin Davenport,House,NJ,Federalist,NJ5
Jonathan Dayton,Senate,NJ,Federalist,NJ
George Dent,House,MD,Federalist,MD1
Samuel Dexter,Senate,MA,Federalist,MA
Joseph Dickson,House,NC,Federalist,NC1
William Edmond,House,CT,Federalist,CT
