full_name,type,state,party,marker
Jimmy Panetta,House,CA,Democrat,CA19
Salud Carbajal,House,CA,Democrat,CA24
Nanette Barragán,House,CA,Democrat,CA44
J. Correa,House,CA,Democrat,CA46
Lisa Blunt Rochester,House,DE,Democrat,DE
Matt Gaetz,House,FL,Republican,FL1
Neal Dunn,House,FL,Republican,FL2
John Rutherford,House,FL,Republican,FL5
Darren Soto,House,FL,Democrat,FL9
Brian Mast,House,FL,Republican,FL21
A. Ferguson,House,GA,Republican,GA3
Raja Krishnamoorthi,House,IL,Democrat,IL8
James Banks,House,IN,Republican,IN3
Roger Marshall,Senate,KS,Republican,KS
Clay Higgins,House,LA,Republican,LA3
Mike Johnson,House,LA,Republican,LA4
Jamie Raskin,House,MD,Democrat,MD8
Jack Bergman,House,MI,Republican,MI1
Ted Budd,Senate,NC,Republican,NC
Don Bacon,House,NE,Republican,NE2
Josh Gottheimer,House,NJ,Democrat,NJ5
Jacky RoSenate,Senate,NV,Democrat,NV
Adriano Espaillat,House,NY,Democrat,NY13
Brian Fitzpatrick,House,PA,Republican,PA1
Lloyd Smucker,House,PA,Republican,PA11
Jenniffer González-Colón,House,PR,Republican,PR
David Kustoff,House,TN,Republican,TN8
Vicente Gonzalez,House,TX,Democrat,TX34
Jodey Arrington,House,TX,Republican,TX19
Pramila Jayapal,House,WA,Democrat,WA7
Mike Gallagher,House,WI,Republican,WI8
Ron Estes,House,KS,Republican,KS4
Ralph Norman,House,SC,Republican,SC5
Jimmy Gomez,House,CA,Democrat,CA34
John Curtis,House,UT,Republican,UT3
Tina Smith,Senate,MN,Democrat,MN
Cindy Hyde-Smith,Senate,MS,Republican,MS
Debbie Lesko,House,AZ,Republican,AZ8
Michael Cloud,House,TX,Republican,TX27
Troy Balderson,House,OH,Republican,OH12
Kevin Hern,House,OK,Republican,OK1
Joseph Morelle,House,NY,Democrat,NY25
Mary Scanlon,House,PA,Democrat,PA5
Susan Wild,House,PA,Democrat,PA7
Ed Case,House,HI,Democrat,HI1
Steven Horsford,House,NV,Democrat,NV4
Greg Stanton,House,AZ,Democrat,AZ4
Josh Harder,House,CA,Democrat,CA9
Katie Porter,House,CA,Democrat,CA47
Mike Levin,House,CA,Democrat,CA49
Joe Neguse,House,CO,Democrat,CO2
Jason Crow,House,CO,Democrat,CO6
Jahana Hayes,House,CT,Democrat,CT5
Michael Waltz,House,FL,Republican,FL6
W. Steube,House,FL,Republican,FL17
Lucy McBath,House,GA,Democrat,GA7
Russ Fulcher,House,ID,Republican,ID1
Jesús García,House,IL,Democrat,IL4
Sean Casten,House,IL,Democrat,IL6
Lauren Underwood,House,IL,Democrat,IL14
James Baird,House,IN,Republican,IN4
Greg Pence,House,IN,Republican,IN6
Sharice Davids,House,KS,Democrat,KS3
Lori Trahan,House,MA,Democrat,MA3
Ayanna Pressley,House,MA,Democrat,MA7
David Trone,House,MD,Democrat,MD6
Elissa Slotkin,House,MI,Democrat,MI7
Haley Stevens,House,MI,Democrat,MI11
Rashida Tlaib,House,MI,Democrat,MI12
Angie Craig,House,MN,Democrat,MN2
Dean Phillips,House,MN,Democrat,MN3
Ilhan Omar,House,MN,Democrat,MN5
Pete Stauber,House,MN,Republican,MN8
Michael Guest,House,MS,Republican,MS3
Kelly Armstrong,House,ND,Republican,ND
Chris Pappas,House,NH,Democrat,NH1
Jefferson Van Drew,House,NJ,Republican,NJ2
Andy Kim,House,NJ,Democrat,NJ3
Mikie Sherrill,House,NJ,Democrat,NJ11
Susie Lee,House,NV,Democrat,NV3
Alexandria Ocasio-Cortez,House,NY,Democrat,NY14
Madeleine Dean,House,PA,Democrat,PA4
Chrissy Houlahan,House,PA,Democrat,PA6
Daniel Meuser,House,PA,Republican,PA9
John Joyce,House,PA,Republican,PA13
Guy Reschenthaler,House,PA,Republican,PA14
William Timmons,House,SC,Republican,SC4
Dusty Johnson,House,SD,Republican,SD
Tim Burchett,House,TN,Republican,TN2
John Rose,House,TN,Republican,TN6
Mark Green,House,TN,Republican,TN7
Daniel Crenshaw,House,TX,Republican,TX2
Lance Gooden,House,TX,Republican,TX5
Lizzie Fletcher,House,TX,Democrat,TX7
Veronica Escobar,House,TX,Democrat,TX16
Chip Roy,House,TX,Republican,TX21
Sylvia Garcia,House,TX,Democrat,TX29
Colin Allred,House,TX,Democrat,TX32
Ben Cline,House,VA,Republican,VA6
Abigail Spanberger,House,VA,Democrat,VA7
Jennifer Wexton,House,VA,Democrat,VA1
Kim Schrier,House,WA,Democrat,WA8
Bryan Steil,House,WI,Republican,WI1
Carol Miller,House,WV,Republican,WV1
Rick Scott,Senate,FL,Republican,FL
Mike Braun,Senate,IN,Republican,IN
Joshua Hawley,Senate,MO,Republican,MO
Mitt Romney,Senate,UT,Republican,UT
Jared Golden,House,ME,Democrat,ME2
Dan Bishop,House,NC,Republican,NC8
Gregory Murphy,House,NC,Republican,NC3
Kweisi Mfume,House,MD,Democrat,MD7
Thomas Tiffany,House,WI,Republican,WI7
Mike Garcia,House,CA,Republican,CA27
Mark Kelly,Senate,AZ,Democrat,AZ
Cynthia Lummis,Senate,WY,Republican,WY
Darrell Issa,House,CA,Republican,CA48
Pete Sessions,House,TX,Republican,TX17
David Valadao,House,CA,Republican,CA22
Tommy Tuberville,Senate,AL,Republican,AL
John Hickenlooper,Senate,CO,Democrat,CO
